No,NPSN,Nama Sekolah,Kab/Kota,Jumlah Siswa,Jumlah Dana
1,69950015,SMA Islam Terpadu Granada,Samarinda,356,"669,280,000"
2,30404461,SMAS Islam Samarinda,Samarinda,313,"588,440,000"
3,30404179,SMAS Sunodia Samarinda,Samarinda,295,"554,600,000"
4,69991845,SMA IT TURSINA,Samarinda,27,"50,760,000"
5,30404269,SMAS Nabil Husein Samarinda,Samarinda,155,"291,400,000"
6,30403013,SMAS Syaichona Cholil Samarinda,Samarinda,247,"464,360,000"
7,30404270,SMAS Setia Marga Samarinda,Samarinda,245,"460,600,000"
8,30404266,SMAS Muhammadiyah 2 Samarinda,Samarinda,42,"78,960,000"
9,69948500,SMA Budi Luhur,Samarinda,264,"496,320,000"
10,69774826,SMAS Plus Melati,Samarinda,96,"180,480,000"
11,30401063,SMAS Katolik W. R. Soepratman,Samarinda,338,"635,440,000"
12,30404265,SMAS Ma arif Samarinda,Samarinda,51,"95,880,000"
13,69984752,SMA ISTIQAMAH MUHAMMADIYAH,Samarinda,216,"406,080,000"
14,30403011,SMAS SF Assisi Samarinda,Samarinda,502,"943,760,000"
15,30404598,SMAS Tunas Kelapa Samarinda,Samarinda,52,"97,760,000"
16,30404178,SMAS Gotong Royong Samarinda,Samarinda,19,"35,720,000"
17,69948015,SMA Madina Citra Insani,Samarinda,60,"112,800,000"
18,70007239,SMA FASTABIQUL KHAIRAT,Samarinda,115,"216,200,000"
19,69978141,SMA TAHFIDZ AL-IZZAH,Samarinda,71,"133,480,000"
20,30404264,SMAS Al - Khairiyah Samarinda,Samarinda,63,"118,440,000"
21,70028531,SMA KRISTEN CITA HATI,Samarinda,82,"154,160,000"
22,30401062,SMAS Immanuel Samarinda,Samarinda,11,"20,680,000"
23,69766189,SMAS IT DAARUL HIKMAH,Bontang,330,"630,300,000"
24,30401828,SMAS ISLAM TERPADU YABIS BONTANG,Bontang,258,"492,780,000"
25,30401830,SMAS BAHRUL ULUM,Bontang,262,"500,420,000"
26,30401808,SMAS YKP MONAMAS BONTANG,Bontang,35,"66,850,000"
27,30401787,SMAS YAYASAN PENDIDIKAN VIDYA DAHANA PATRA,Bontang,373,"712,430,000"
28,30401809,SMAS YAYASAN PUPUK KALTIM BONTANG,Bontang,677,"1,293,070,000"
29,30401780,SMAS TUNAS BANGSA,Bontang,30,"57,300,000"
30,30401829,SMAS HIDAYATULLAH,Bontang,179,"341,890,000"
31,69901305,SMA IT AL AULIYA,Balikpapan,240,"439,200,000"
32,30401409,SMAS ADVENT,Balikpapan,110,"201,300,000"
33,30401501,SMAS KARTIKA V-1,Balikpapan,418,"764,940,000"
34,70010866,SMAIT Istiqamah Balikpapan,Balikpapan,174,"318,420,000"
35,30401500,SMAS KATHOLIK ADI SUCIPTO,Balikpapan,183,"334,890,000"
36,30401496,SMAS PATRA DHARMA,Balikpapan,400,"732,000,000"
37,69974739,SMAIT TRI SUKSES GENERUS,Balikpapan,156,"285,480,000"
38,69974737,SMA KRISTEN HARAPAN BANGSA,Balikpapan,99,"181,170,000"
39,30401498,SMA MUHAMMADIYAH 2 AL-MUJAHIDIN,Balikpapan,371,"678,930,000"
40,69987671,SMA INTEGRAL LUQMAN AL HAKIM,Balikpapan,58,"106,140,000"
41,30401497,SMAS NUSANTARA,Balikpapan,199,"364,170,000"
42,70048473,SMA AL IMAM ISLAMIC SCHOOL BALIKPAPAN,Balikpapan,50,"91,500,000"
43,70046800,SMA IT AL AZHAR BOARDING SCHOOL,Balikpapan,45,"82,350,000"
44,30401499,SMAS MUHAMMADIYAH 1,Balikpapan,50,"91,500,000"
45,30401493,SMAS SYAICHONA CHOLIL,Balikpapan,106,"193,980,000"
46,70028641,SMA NASIONAL KPS,Balikpapan,223,"408,090,000"
47,30402919,SMAS AL HASSAN,Balikpapan,64,"117,120,000"
48,30402081,SMAS ITCI PPU,Penajam Paser Utara,275,"511,500,000"
49,70006956,SMA ISLAM TERPADU AL-HIKMAH,Penajam Paser Utara,55,"102,300,000"
50,70004669,SMA INTEGRAL AL MUZZAMMIL,Penajam Paser Utara,37,"68,820,000"
51,69984683,SMA IT Al-Khawarizmi,Paser,61,"111,020,000"
52,30407371,SMAS ISLAM BINA IMAN,Paser,37,"67,340,000"
53,30400178,SMAS MUHAMMADIYAH TANAH GROGOT,Paser,218,"396,760,000"
54,69944364,SMA INTEGRAL LUQMAN AL HAKIM,Paser,79,"143,780,000"
55,30400578,SMA SWASTA AWANG LONG,Mahakam Ulu,17,"28,560,000"
56,30402379,SMA SWASTA MAHAKAM,Mahakam Ulu,16,"26,880,000"
57,70027332,SMA PLUS BUDI LUHUR MANDIRI,Kutai Timur,120,"205,200,000"
58,70040356,SMA Prima YPPSB,Kutai Timur,411,"702,810,000"
59,30404429,SMAS BAKTI SEJAHTERA,Kutai Timur,153,"261,630,000"
60,70042390,SMA Islam Terpadu Daarussalaam Sangatta,Kutai Timur,112,"191,520,000"
61,69860790,SMA IT AL-HIDAYAH TENGGARONG,Kutai Kartanegara,57,"100,320,000"
62,69769393,SMA IT NURUL ILMI TENGGARONG,Kutai Kartanegara,97,"170,720,000"
63,30400323,SMA GOTONG ROYONG KOTA BANGUN,Kutai Kartanegara,59,"103,840,000"
64,30405308,SMA ISLAM SANIPAH SAMBOJA,Kutai Kartanegara,98,"172,480,000"
65,30405307,SMA ISLAM ULUMUDDIN SAMBOJA,Kutai Kartanegara,229,"403,040,000"
66,30405322,SMA NURUL YAQIN SEBULU,Kutai Kartanegara,61,"107,360,000"
67,30405331,SMA MARTADIPURA MUARA KAMAN,Kutai Kartanegara,134,"235,840,000"
68,30405309,SMA AL HAYAT SAMBOJA,Kutai Kartanegara,76,"133,760,000"
69,70047860,SMA Evans Indonesia Kota Bangun,Kutai Kartanegara,63,"110,880,000"
70,70010059,SMA KARAKTER BANGSA BOARDING SCHOOL,Kutai Kartanegara,49,"86,240,000"
71,30405329,SMA RAHMATULLAH MARANG KAYU,Kutai Kartanegara,6,"10,560,000"
72,30405325,SMA YPM DIPONEGORO TENGGARONG SEBERANG,Kutai Kartanegara,113,"198,880,000"
73,30405306,SMA HARAPAN SAMBOJA,Kutai Kartanegara,60,"105,600,000"
74,30405318,SMA AL MUNAWWAROH TENGGARONG,Kutai Kartanegara,104,"183,040,000"
75,30405317,SMA YPK TENGGARONG,Kutai Kartanegara,71,"124,960,000"
76,30405326,SMA AL MUHAJIRIN MUARA BADAK,Kutai Kartanegara,62,"109,120,000"
77,30405339,SMA MUHAMMADIYAH TENGGARONG,Kutai Kartanegara,89,"156,640,000"
78,30405335,SMA KI HAJAR DEWANTARA KEMBANG JANGGUT,Kutai Kartanegara,65,"114,400,000"
79,30400558,SMAS SURYA MANDALA,Kutai Barat,12,"19,320,000"
80,69786406,SMAS KRISTEN BALA KESELAMATAN,Kutai Barat,17,"27,370,000"
81,30400559,SMAS SARI MENTANANG,Kutai Barat,31,"49,910,000"
82,69947957,SMA KALAM SEJAHTERA,Kutai Barat,60,"96,600,000"
83,69875543,SMA ADVENT SENDAWAR,Kutai Barat,9,"14,490,000"
84,69902911,SMA IT ASH SHOHWAH,Berau,83,"152,720,000"
85,69930839,SMA INTEGRAL HIDAYATULLAH,Berau,90,"165,600,000"
86,70043825,SMA Ibnu Katsir Tanjung Redeb,Berau,30,"55,200,000"
87,30404355,SMAS PGRI 13 TANJUNG REDEB,Berau,395,"726,800,000"
88,30404227,SMAS MUHAMADIYAH TANJUNG REDEB,Berau,341,"627,440,000"
1,30401069,SMKS Cokroaminoto Samarinda,Samarinda,12,"27,240,000"
2,69830684,SMK Integral Hidayatullah,Samarinda,9,"20,430,000"
3,30405842,SMKS IT Subulussalam,Samarinda,46,"104,420,000"
4,30401075,SMKS Pemuda Samarinda,Samarinda,22,"49,940,000"
5,30404604,SMKS Darussalam Samarinda,Samarinda,26,"59,020,000"
6,30404129,SMKS Katolik 2 WR. Soepratman,Samarinda,66,"149,820,000"
7,30404271,SMKS TI Airlangga,Samarinda,271,"615,170,000"
8,30401088,SMKS Muhammadiyah 3 Samarinda,Samarinda,369,"837,630,000"
9,30404359,SMKS Farmasi Samarinda,Samarinda,149,"338,230,000"
10,30404274,SMKS Nabil Husein Samarinda,Samarinda,106,"240,620,000"
11,30401086,SMKS Muhammadiyah 1 Samarinda,Samarinda,148,"335,960,000"
12,30401073,SMKS Nuri Samarinda,Samarinda,19,"43,130,000"
13,30405709,SMKS Plus Melati Samarinda,Samarinda,36,"81,720,000"
14,30401087,SMKS Muhammadiyah 2 Samarinda,Samarinda,100,"227,000,000"
15,30406110,SMKS Terpadu Madina Samarinda,Samarinda,58,"131,660,000"
16,30401078,SMKS PGRI 5 SAMARINDA,Samarinda,11,"24,970,000"
17,30405836,SMKS Kesehatan Samarinda,Samarinda,442,"1,003,340,000"
18,30405722,SMKS TI Labbaika,Samarinda,516,"1,171,320,000"
